username,title,business_size,validated_user,verified_current_user,review_source,date,rating,review_title,like_best,dislike,benefits
Verified User in Computer Games,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2020-03-02,5.0,"""Everyone I've worked with at Partnerize has been extremely helpful going above and beyond.""","I like that the service while not a traditional affiliate network (which is how I mainly use it) provides 1x1 assistance. Our program is so custom and has many complex set up flows and the team (Jasmine and Deepika, and Paul &Jimmy) from finance have been very helpful in a timely manner. Review collected by and hosted on G2.com.","I like that the service while not a traditional affiliate network (which is how I mainly use it) provides 1x1 assistance. Our program is so custom and has many complex set up flows and the team (Jasmine and Deepika, and Paul &Jimmy) from finance have been very helpful in a timely manner. Review collected by and hosted on G2.com.",
"Verified User in Leisure, Travel & Tourism",,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2020-05-20,4.0,"""Insightful product for partnerships management""",Highly engaged customer success and support team to provide partner management and strive for consistent improvement and optimization Review collected by and hosted on G2.com.,Highly engaged customer success and support team to provide partner management and strive for consistent improvement and optimization Review collected by and hosted on G2.com.,
"Verified User in Leisure, Travel & Tourism",,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-03-16,3.5,"""Exciting and innovative tech platform with multiple capabilities""",There are a lot of capabilities on the platform including:,There are a lot of capabilities on the platform including:,
"Verified User in Leisure, Travel & Tourism",,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-03-17,5.0,"""Great service and capabilities!""","We have been working with Partnerize for over a year now. The set up was easy and the customer support we get is great. We always get a response the same day, their staff are friendly and helpful. Our partners love the platform and it makes business strategies and decisions much easier with the great reporting! Review collected by and hosted on G2.com.","We have been working with Partnerize for over a year now. The set up was easy and the customer support we get is great. We always get a response the same day, their staff are friendly and helpful. Our partners love the platform and it makes business strategies and decisions much easier with the great reporting! Review collected by and hosted on G2.com.",
Rebecca D.,Senior Manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-03-16,4.5,"""Perfect platform for Partnership Marketing""",Professional and innovative team always willing to help. Quick turnarounds for questions too. Review collected by and hosted on G2.com.,Professional and innovative team always willing to help. Quick turnarounds for questions too. Review collected by and hosted on G2.com.,
Yvonne van der W.,Affiliate Marketing Specialist Europe,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-03-17,4.5,"""Good networking tool""","Network events, dedicated support team & client success manager Review collected by and hosted on G2.com.","Network events, dedicated support team & client success manager Review collected by and hosted on G2.com.",
Verified User in Marketing and Advertising,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-06-11,5.0,"""Great Technology and Great People""",My favorite part in working with Partnerize is their stellar team across the board. Review collected by and hosted on G2.com.,My favorite part in working with Partnerize is their stellar team across the board. Review collected by and hosted on G2.com.,
"Verified User in Leisure, Travel & Tourism",,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-03-17,4.0,"""Platform mostly realiable but with margins for improvement""","Partnerize tracks and reports in a very easy and accessible way for both merchant and publishers making very easy growing our affiliate program. Moreover, it offers a seriese of very good integrations with 3 parties providers Review collected by and hosted on G2.com.","Partnerize tracks and reports in a very easy and accessible way for both merchant and publishers making very easy growing our affiliate program. Moreover, it offers a seriese of very good integrations with 3 parties providers Review collected by and hosted on G2.com.",
"Verified User in Leisure, Travel & Tourism",,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-03-20,4.0,"""Excellent platform""",Variety of features and capabilities to build partnerships and reward affiliates accordingly Review collected by and hosted on G2.com.,Variety of features and capabilities to build partnerships and reward affiliates accordingly Review collected by and hosted on G2.com.,
Annabel G.,Associate DIrector,Mid-Market (51-1000 emp.),No,No,Organic,2021-03-11,5.0,"""Data-Centric Platform for Advanced Campaign Management""","The Partnerize program has all the core components required to create a sophisticated partnership program - unlimited datasets allowing for advanced program commissioning, API tracking, Real Time Reporting, Scheduling time for offers to allow advance campaign scheduling, and a great local team in Australia to top it all off. Review collected by and hosted on G2.com.","Support is based on an international ticketing system, which means there can sometimes be delays in tickets being resolved.  However whenever we've encountered this the Australian team have always been really helpful to get matters resolved and closed quickly. Review collected by and hosted on G2.com.",
Tamara C.,Acquisition Specialist,Mid-Market (51-1000 emp.),No,No,Organic,2021-03-10,4.5,"""Game Changing Partnerships Platform""","Partnerize has been instrumental in helping us grow the partnerships channel in the past 12 months. As a SaaS platform, Partnerize gives us direct contact with our partners allowing for clearer lines of communication. The commissioning tools have assisted us to test and experiment with some really exciting things. The team at Partnerize are the true highlight though - such a friendly and supportive team who have gotten back to all issues and enquires quickly and to a high standard. Love working with them! Review collected by and hosted on G2.com.","Partnerize has been instrumental in helping us grow the partnerships channel in the past 12 months. As a SaaS platform, Partnerize gives us direct contact with our partners allowing for clearer lines of communication. The commissioning tools have assisted us to test and experiment with some really exciting things. The team at Partnerize are the true highlight though - such a friendly and supportive team who have gotten back to all issues and enquires quickly and to a high standard. Love working with them! Review collected by and hosted on G2.com.",
Louis J.,Digital Partnerships Manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2021-05-26,5.0,"""Amazing solution and even better support team!""",Not only has the tech and tracking been a great optimisation for us but the team has been incredibly attentive and supportive in achieving our channel targets. Review collected by and hosted on G2.com.,Not only has the tech and tracking been a great optimisation for us but the team has been incredibly attentive and supportive in achieving our channel targets. Review collected by and hosted on G2.com.,
Chris T.,Partnerships Manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2021-05-28,5.0,"""Partnerize - A recommended network""","Partnerize have been fantastic in supporting the growth of our company, including facilitating partnerships with brands.","Partnerize have been fantastic in supporting the growth of our company, including facilitating partnerships with brands.",
Angélica B.,Key Account Manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2021-05-27,5.0,"""The easiest platform to track advanced campaigns""",Partnerize proposes a real following of the performance. The interface is fluid and allows accessing multiples campaigns.,Partnerize proposes a real following of the performance. The interface is fluid and allows accessing multiples campaigns.,
Mark K.,Scholar,Mid-Market (51-1000 emp.),No,No,Organic,2021-03-17,4.5,"""Partnerize makes it easy to identify and work with affiliate partners""","Great platform that is simple, flexible and effective to use. We get amazing support from the team on how to take our affiliate program forward, and insights into trends in the industry. Review collected by and hosted on G2.com.","Great platform that is simple, flexible and effective to use. We get amazing support from the team on how to take our affiliate program forward, and insights into trends in the industry. Review collected by and hosted on G2.com.",
Verified User in Computer Software,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2021-05-28,5.0,"""Easy to use software with excellent account/publisher management""",• The software is best in class. Navigating the platform is incredibly easy.,• The software is best in class. Navigating the platform is incredibly easy.,
Verified User in Apparel & Fashion,,Mid-Market (51-1000 emp.),No,No,Organic,2021-03-19,4.0,"""Partnerize is a very strong platform especially for merchants looking to in-house affiliates""",User friendly for daily self-service campaign activity,User friendly for daily self-service campaign activity,
Verified User in Retail,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2021-05-25,5.0,"""Seamless experience, accurate and fast tracking and reporting, agile team.""","Real/near-time reporting, multi-logic commissioning setup, robust publisher development toolkit.","Real/near-time reporting, multi-logic commissioning setup, robust publisher development toolkit.",
Verified User in Furniture,,Mid-Market (51-1000 emp.),No,No,Organic,2021-03-15,4.5,"""Partnerize makes it easy for us to extract the most value out of our affiliate program.""",Its analytics section really helps us gain insights and identify opportunities to improve our program. It also helps us set priorities on which types of partnerships to pursue and test. Review collected by and hosted on G2.com.,Its analytics section really helps us gain insights and identify opportunities to improve our program. It also helps us set priorities on which types of partnerships to pursue and test. Review collected by and hosted on G2.com.,
Verified User in Telecommunications,,Mid-Market (51-1000 emp.),No,No,Organic,2021-03-15,4.5,"""Partnerize is a great affiliate Program to boost your performance!""",The team at Partnerize is full of experts who wants to help our business grow and they are awesome people to work with! Review collected by and hosted on G2.com.,The team at Partnerize is full of experts who wants to help our business grow and they are awesome people to work with! Review collected by and hosted on G2.com.,
Verified User in Online Media,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2020-09-12,5.0,"""Partnerize was able to quickly grow with our businesses complex needs for international growth.""",Partnerize was able to source the relationships they needed in order to pay partners around the world along with establish international offices so we could continue to grow. Parnterize also had established relationships with account management vendors that could support our program. Review collected by and hosted on G2.com.,Partnerize was able to source the relationships they needed in order to pay partners around the world along with establish international offices so we could continue to grow. Parnterize also had established relationships with account management vendors that could support our program. Review collected by and hosted on G2.com.,
Verified User in Financial Services,,Mid-Market (51-1000 emp.),No,No,Organic,2021-03-10,4.5,"""Partnerize have shown themselves to be a true partner.""","The platform is slick, easy to navigate and accessible","The platform is slick, easy to navigate and accessible",
Verified User in Internet,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2021-05-26,5.0,"""Working with Partnerize is fast, efficient, and thoughtful.""","The team is incredibly responsive and knowledgeable, and they go above and beyond to be an informative voice in the Affiliate space. Review collected by and hosted on G2.com.","The team is incredibly responsive and knowledgeable, and they go above and beyond to be an informative voice in the Affiliate space. Review collected by and hosted on G2.com.",
Verified User in Online Media,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-08-27,5.0,"""Industry leading tracking services""","Amazing tracking capabilities, second to none in the industry. The tracking on social media marketing and app- and in-app is ahead of the curve. Review collected by and hosted on G2.com.","Amazing tracking capabilities, second to none in the industry. The tracking on social media marketing and app- and in-app is ahead of the curve. Review collected by and hosted on G2.com.",
Caitlin G.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-05-27,5.0,"""Sophisticated affiliate platform!""","Fast, reliable tech that engines our extensive affiliate reporting, campaign set up and invoicing. The team are a dream to work with, and it's great to be able to work with the Partnerize team to identify our current issues and work on tech solutions that will help make our day to day jobs a whole lot more efficient. We've even worked with the Partnerize product team on new feature testing & launches, and any ideas that we might raise are always taken onboard. Review collected by and hosted on G2.com.","Fast, reliable tech that engines our extensive affiliate reporting, campaign set up and invoicing. The team are a dream to work with, and it's great to be able to work with the Partnerize team to identify our current issues and work on tech solutions that will help make our day to day jobs a whole lot more efficient. We've even worked with the Partnerize product team on new feature testing & launches, and any ideas that we might raise are always taken onboard. Review collected by and hosted on G2.com.",
Ashley K.,Ecommerce | Digital Marketing at DÔEN,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-09-04,5.0,"""Amazing Reporting and Commissioning Functionality""",Dynamic commissioning allows me to reward my publishers based on their place in the decision making funnel. This allows me to hit my overall KPIs when combined into blended stats with other marketing channels. I typically reward new visitor focused partners more aggressively than those at the lower funnel levels - in relation to the overall LTV that is brought in. Review collected by and hosted on G2.com.,Dynamic commissioning allows me to reward my publishers based on their place in the decision making funnel. This allows me to hit my overall KPIs when combined into blended stats with other marketing channels. I typically reward new visitor focused partners more aggressively than those at the lower funnel levels - in relation to the overall LTV that is brought in. Review collected by and hosted on G2.com.,
Verified User in Computer Games,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2020-08-25,4.0,"""Leading Platform Lacking in White Glove Support""","There is a lot to be said of stability. Partnerize is rock solid on that account. The C-Level team is very engaged. However, that engagement does not seem to be part of the platform at a cultural level. Review collected by and hosted on G2.com.","There is a lot to be said of stability. Partnerize is rock solid on that account. The C-Level team is very engaged. However, that engagement does not seem to be part of the platform at a cultural level. Review collected by and hosted on G2.com.",
Tony M.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2020-05-05,4.0,"""Partnerize helps us get it done!""","As an affiliate for some of the UK's biggest financial and retail brands, Partnerize enables us to monitor our performance in real-time in granular detail. The platform enables us to understand the types of customers we are driving and we can therefore optimise our content strategy accordingly based on our most effective promotions. Review collected by and hosted on G2.com.","As an affiliate for some of the UK's biggest financial and retail brands, Partnerize enables us to monitor our performance in real-time in granular detail. The platform enables us to understand the types of customers we are driving and we can therefore optimise our content strategy accordingly based on our most effective promotions. Review collected by and hosted on G2.com.",
Verified User in Online Media,,Enterprise (>1000 emp.),No,No,Organic,2021-03-10,3.5,"""Partnerize Review""","Partnerize’s robust technology solution enables Dentsu to establish, maintain and continually enhance best-in-class Partnership programs for our advertisers. The platforms automation capabilities has removed many manual tasks, which has translated into additional time to focus on growth initiatives. Overall, the platforms capabilities and the teams operational support is highly commendable. Review collected by and hosted on G2.com.","Partnerize’s robust technology solution enables Dentsu to establish, maintain and continually enhance best-in-class Partnership programs for our advertisers. The platforms automation capabilities has removed many manual tasks, which has translated into additional time to focus on growth initiatives. Overall, the platforms capabilities and the teams operational support is highly commendable. Review collected by and hosted on G2.com.",
Verified User in Information Technology and Services,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2021-05-27,5.0,"""Great experience""",Partnerize Support,Partnerize Support,
Peter P.,President Marketing and Advertising,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-05-24,5.0,"""This is not your ordinary affiliate marketing platform""",The Partnerize marketing platform does so much more than originally expected. This is the platform for global organizations looking to better manage their partner marketing efforts. Review collected by and hosted on G2.com.,The Partnerize marketing platform does so much more than originally expected. This is the platform for global organizations looking to better manage their partner marketing efforts. Review collected by and hosted on G2.com.,
Claire B.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-08-07,5.0,"""Valuable Partner of Shoptagr""","Over the years, Shoptagr has worked closely with Partnerize's Publisher team to help optimize and increase long-term revenue with a variety of advertisers. Our strong partnership and their expertise in affiliate have led to a highly successful program increasing in double-digit growth YOY. Review collected by and hosted on G2.com.","Over the years, Shoptagr has worked closely with Partnerize's Publisher team to help optimize and increase long-term revenue with a variety of advertisers. Our strong partnership and their expertise in affiliate have led to a highly successful program increasing in double-digit growth YOY. Review collected by and hosted on G2.com.",
Jason Z.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-06-09,4.5,"""Highly flexible with lots of options""","Their platform is highly flexible, offers lots of options, and allows us to commission in ways we never could before. Mobile tracking has helped us capture a lot more sales to the platform, which was important to us. Review collected by and hosted on G2.com.","Their platform is highly flexible, offers lots of options, and allows us to commission in ways we never could before. Mobile tracking has helped us capture a lot more sales to the platform, which was important to us. Review collected by and hosted on G2.com.",
Darlene S.,Customer Success and Sales Manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2020-08-27,4.5,"""Partnerize has done an outstanding job of quickly getting us to where we wanted to rank.""",They are committed to us and the work that we’re doing.  They bring the capability and know-how of a big agency and the entrepreneurial spirit of a start-up. Review collected by and hosted on G2.com.,They are committed to us and the work that we’re doing.  They bring the capability and know-how of a big agency and the entrepreneurial spirit of a start-up. Review collected by and hosted on G2.com.,
Nick S.,Marketing Consultant Marketing and Advertising,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-08-01,4.0,"""trusted service to work with""","fast support, easy integration ways via API or s2s, good brands and fast payments Review collected by and hosted on G2.com.",old school interface with some UX bugs. it should be updated to 2022 Review collected by and hosted on G2.com.,
Hannah M.,Affiliate Marketing Manager,Small Business (50 or fewer emp.),No,No,G2 invite,2022-11-02,4.0,"""A good, flexible platform""",It can be tailored to suit your business needs Review collected by and hosted on G2.com.,It can be tailored to suit your business needs Review collected by and hosted on G2.com.,
Mary M.,Digital Marketing Manager,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2021-12-17,5.0,"""Quality Platform with Stellar Service Support""","I've worked with Partnerize for roughly four years in a full-service capacity. This means that I have a dedicated account strategist who assists with outreach, program management, troubleshooting, and more. The service provided has always been above par and it's one of the easiest platforms to work in. Review collected by and hosted on G2.com.","I've worked with Partnerize for roughly four years in a full-service capacity. This means that I have a dedicated account strategist who assists with outreach, program management, troubleshooting, and more. The service provided has always been above par and it's one of the easiest platforms to work in. Review collected by and hosted on G2.com.",
Fabio C.,S,Mid-Market (51-1000 emp.),No,No,Seller invite,2022-03-10,4.0,"""Great team ready to support at any time""",The fact that the Partnerize team is always willing to support and jump on a call to get things resolved and better explain how to fix issues. It's always a great pleasure to collaborate with them and learn from them Review collected by and hosted on G2.com.,The fact that the Partnerize team is always willing to support and jump on a call to get things resolved and better explain how to fix issues. It's always a great pleasure to collaborate with them and learn from them Review collected by and hosted on G2.com.,
Jacquelyn A.,Online Entrepreneur,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-06-20,5.0,"""How To Monetize Your Blog""",Easy to understand monetization tools tuat work. Review collected by and hosted on G2.com.,Easy to understand monetization tools tuat work. Review collected by and hosted on G2.com.,
Jade P.,Senior Manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-05-11,4.5,"""Soko Glam & Partnerize""",I really like the platform it makes all of Soko Glam's influencer and affiliate program's work together easily Review collected by and hosted on G2.com.,I really like the platform it makes all of Soko Glam's influencer and affiliate program's work together easily Review collected by and hosted on G2.com.,
Verified User in Apparel & Fashion,,Small Business (50 or fewer emp.),No,No,Seller invite,2022-03-14,5.0,"""Great customer service and great tool!""","It is easy to access, monitor campaigns, and get help once there are difficulties encountered. It makes the bonding process easier and facilitates integrations. Review collected by and hosted on G2.com.","It is easy to access, monitor campaigns, and get help once there are difficulties encountered. It makes the bonding process easier and facilitates integrations. Review collected by and hosted on G2.com.",
Hannah M.,F,Mid-Market (51-1000 emp.),No,No,Seller invite,2022-03-12,4.5,"""Excellent partner management software""",Partnerize is very flexible and the team enables retailers to achieve their performance marketing goals. Review collected by and hosted on G2.com.,Partnerize is very flexible and the team enables retailers to achieve their performance marketing goals. Review collected by and hosted on G2.com.,
Verified User in Internet,,Small Business (50 or fewer emp.),No,No,Seller invite,2022-02-20,4.0,"""Useful, valuable, user-friendly but most importantly accurate.""","Of all the affiliate software, Partnerize is among the best when it comes to accuracy and flexibility.  There are quite a few beneficial reports that you can't find elsewhere and they really provide a nice set of options to choose from. Review collected by and hosted on G2.com.","Of all the affiliate software, Partnerize is among the best when it comes to accuracy and flexibility.  There are quite a few beneficial reports that you can't find elsewhere and they really provide a nice set of options to choose from. Review collected by and hosted on G2.com.",
Verified User in Online Media,,Enterprise (>1000 emp.),No,No,Organic,2022-02-28,3.0,"""Not user friendly but valuable insights""",The quality of the data and the quantity Review collected by and hosted on G2.com.,The quality of the data and the quantity Review collected by and hosted on G2.com.,
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2022-08-08,3.5,"""Easy to use and intuitive""",Easy to implement campaigns  and a huge amount of data to explore when  you export an report Review collected by and hosted on G2.com.,Easy to implement campaigns  and a huge amount of data to explore when  you export an report Review collected by and hosted on G2.com.,
Karina B.,Affiliate marketing executive  Affiliate marketing executive,Small Business (50 or fewer emp.),No,No,Seller invite,2022-03-10,5.0,"""Easy to use, a lot of options to see the performance in different ways. The customer service helpful""",The customer service is very helpful. Employees are experts in their field. Review collected by and hosted on G2.com.,The customer service is very helpful. Employees are experts in their field. Review collected by and hosted on G2.com.,
Verified User in Publishing,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-06-04,3.5,"""Easy to use affiliate site""","Analysis of sales (and use of colour to differentiate different vendors), easy to use links. Review collected by and hosted on G2.com.","Analysis of sales (and use of colour to differentiate different vendors), easy to use links. Review collected by and hosted on G2.com.",
Verified User in Consumer Goods,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-06-19,1.5,"""Great people, lack of resources""",People here are very kind and well-intentioned Review collected by and hosted on G2.com.,People here are very kind and well-intentioned Review collected by and hosted on G2.com.,
Verified User in Apparel & Fashion,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-06-17,4.5,"""A Great Team That are Always Friendy""","The best thing about Partnerize is their strive to always try and do their best, but also the innovation and technology development they take on. Partnerize are always looking for way to improve! Review collected by and hosted on G2.com.","The best thing about Partnerize is their strive to always try and do their best, but also the innovation and technology development they take on. Partnerize are always looking for way to improve! Review collected by and hosted on G2.com.",
