username,title,business_type,business_size,validated_user,verified_current_user,review_source,incentivized_review,date,rating,review_title,like_best,dislike,benefits
Harinder S.,Small-Business(50 or fewer emp.),,,Yes,No,,No,2023-05-18,0,"""Grab Your Hard Earn Money without any Prior Intimation""",The CJ platform has many affiliate programs Review collected by and hosted on G2.com.,The CJ platform has many affiliate programs Review collected by and hosted on G2.com.,The CJ platform has many affiliate programs Review collected by and hosted on G2.com.
Ajeet S.,Affiliate Marketing Manager,Small-Business,,Yes,No,,No,2021-09-30,4,"""Earn Money With CJ Affiliate""","CJ Affiliate network has lots of campaigns available for many regions, including the United Kingdom and SEA regions. The best thing about it is campaigns approval. The approval rate is very good. Even if they decline your application to join they give a proper reason for it which helps in making your website better. Review collected by and hosted on G2.com.","CJ Affiliate network has lots of campaigns available for many regions, including the United Kingdom and SEA regions. The best thing about it is campaigns approval. The approval rate is very good. Even if they decline your application to join they give a proper reason for it which helps in making your website better. Review collected by and hosted on G2.com.","CJ Affiliate network has lots of campaigns available for many regions, including the United Kingdom and SEA regions. The best thing about it is campaigns approval. The approval rate is very good. Even if they decline your application to join they give a proper reason for it which helps in making your website better. Review collected by and hosted on G2.com."
k e.,Notary Public,Small-Business,,Yes,No,,No,2022-05-12,5,"""Cj the affilate""",Its long relationship standing at 5 of college-level calendar years Review collected by and hosted on G2.com.,Its long relationship standing at 5 of college-level calendar years Review collected by and hosted on G2.com.,Its long relationship standing at 5 of college-level calendar years Review collected by and hosted on G2.com.
Thomas M.,Credit Controller,Small-Business,,Yes,No,,No,2021-09-29,5,"""Happy CJ Affiliate Client""","CJ Affiliate is a worldwide affiliate network that provides me with centralized access to advertisers and systemized commissions. The bulk of the advertising companies engage CJ Affiliate and myself being an Affiliate Market it's easy to interact with them through CJ Affiliate, it has a pool of useful resources and easy access to tracking links, placements andreports. Review collected by and hosted on G2.com.","CJ Affiliate is a worldwide affiliate network that provides me with centralized access to advertisers and systemized commissions. The bulk of the advertising companies engage CJ Affiliate and myself being an Affiliate Market it's easy to interact with them through CJ Affiliate, it has a pool of useful resources and easy access to tracking links, placements andreports. Review collected by and hosted on G2.com.","CJ Affiliate is a worldwide affiliate network that provides me with centralized access to advertisers and systemized commissions. The bulk of the advertising companies engage CJ Affiliate and myself being an Affiliate Market it's easy to interact with them through CJ Affiliate, it has a pool of useful resources and easy access to tracking links, placements andreports. Review collected by and hosted on G2.com."
Verified User in Consumer Goods,Mid-Market(51-1000 emp.),,,Yes,No,,No,2021-10-09,4,"""Intuitive Affiliate Platform""",CJ offers an intuitive website that allows affiliate publishers to locate new and existing merchant partners quickly and identify essential details like commissions and contracts within a few taps. Review collected by and hosted on G2.com.,CJ offers an intuitive website that allows affiliate publishers to locate new and existing merchant partners quickly and identify essential details like commissions and contracts within a few taps. Review collected by and hosted on G2.com.,CJ offers an intuitive website that allows affiliate publishers to locate new and existing merchant partners quickly and identify essential details like commissions and contracts within a few taps. Review collected by and hosted on G2.com.
Verified User in Consumer Electronics,Mid-Market(51-1000 emp.),,,Yes,No,,No,2022-01-12,4,"""Simple straightforward onboarding and integration with commerce cloud""",As the title says overall onboarding experience was straightforward and simple with detailed documentation available for the Business and technology team. Review collected by and hosted on G2.com.,As the title says overall onboarding experience was straightforward and simple with detailed documentation available for the Business and technology team. Review collected by and hosted on G2.com.,As the title says overall onboarding experience was straightforward and simple with detailed documentation available for the Business and technology team. Review collected by and hosted on G2.com.
Verified User in Publishing,Small-Business(50 or fewer emp.),,,Yes,No,,No,2022-01-12,5,"""Excellent affiliate resource""","The interface is easy to use, I receive notifications about new opportunities, and payment is prompt. Review collected by and hosted on G2.com.","The interface is easy to use, I receive notifications about new opportunities, and payment is prompt. Review collected by and hosted on G2.com.","The interface is easy to use, I receive notifications about new opportunities, and payment is prompt. Review collected by and hosted on G2.com."
Chris M.,Digital Marketing & Ecommerce Manager,Mid-Market,1-10 employees,Yes,No,,No,2021-08-23,3,"""Top Network, but Needs to Be Easier to Use""",Once you have a feel for the platform you can expand your business in the affiliate space. Review collected by and hosted on G2.com.,Once you have a feel for the platform you can expand your business in the affiliate space. Review collected by and hosted on G2.com.,Once you have a feel for the platform you can expand your business in the affiliate space. Review collected by and hosted on G2.com.
Verified User in Design,Small-Business(50 or fewer emp.),,,Yes,No,,No,2020-08-19,0.5,"""Legacy Affiliate Program that is basically just coupon sites""","If you are looking for discount or coupon sites to send you affiliate traffic, look here. Otherwise look elsewhere. Review collected by and hosted on G2.com.","If you are looking for discount or coupon sites to send you affiliate traffic, look here. Otherwise look elsewhere. Review collected by and hosted on G2.com.","If you are looking for discount or coupon sites to send you affiliate traffic, look here. Otherwise look elsewhere. Review collected by and hosted on G2.com."
Peter V.,Owner,Small-Business,,Yes,No,,No,2020-03-30,4,"""Good platform for my customers to access products I recommend""",It works while I sleep.  Allows me to work remotely to deploy software to customers with a credit card. Review collected by and hosted on G2.com.,It works while I sleep.  Allows me to work remotely to deploy software to customers with a credit card. Review collected by and hosted on G2.com.,It works while I sleep.  Allows me to work remotely to deploy software to customers with a credit card. Review collected by and hosted on G2.com.
Kristian P.,Senior Webmaster,Small-Business,,Yes,No,,No,2019-01-31,1.5,"""Isn't what it used to be""","When CJ started out they had a very down to earth feel. Within the first month of beingvan affiliate with them they had sent me a wooden ""money"" train whistle with their logo on it. It was a way to say welcome and helped me feel welcomed to their company. That feeling is long gone. They have since been bought by a different company and you no longer feel any different then joining any other large affiliate program. They do offer a lot of affiliate programs in many categories and they have competetive commissions. I stopped using them after more then 15 years when they started charging me an inactivity fee, I was sending them traffic but my sales dropped off while I was restructuring my website. As mist people know the affiliate marketplace isn't what it used to be and CJ proves that point all so well. Review collected by and hosted on G2.com.","When CJ started out they had a very down to earth feel. Within the first month of beingvan affiliate with them they had sent me a wooden ""money"" train whistle with their logo on it. It was a way to say welcome and helped me feel welcomed to their company. That feeling is long gone. They have since been bought by a different company and you no longer feel any different then joining any other large affiliate program. They do offer a lot of affiliate programs in many categories and they have competetive commissions. I stopped using them after more then 15 years when they started charging me an inactivity fee, I was sending them traffic but my sales dropped off while I was restructuring my website. As mist people know the affiliate marketplace isn't what it used to be and CJ proves that point all so well. Review collected by and hosted on G2.com.","When CJ started out they had a very down to earth feel. Within the first month of beingvan affiliate with them they had sent me a wooden ""money"" train whistle with their logo on it. It was a way to say welcome and helped me feel welcomed to their company. That feeling is long gone. They have since been bought by a different company and you no longer feel any different then joining any other large affiliate program. They do offer a lot of affiliate programs in many categories and they have competetive commissions. I stopped using them after more then 15 years when they started charging me an inactivity fee, I was sending them traffic but my sales dropped off while I was restructuring my website. As mist people know the affiliate marketplace isn't what it used to be and CJ proves that point all so well. Review collected by and hosted on G2.com."
Verified User in E-Learning,Mid-Market(51-1000 emp.),,,Yes,No,,No,2019-01-11,4,"""Good affiliate manager but poor email tool""",I like the ability to easily connect with possible affiliates and the ranking system for them.  Review collected by and hosted on G2.com.,I like the ability to easily connect with possible affiliates and the ranking system for them.  Review collected by and hosted on G2.com.,I like the ability to easily connect with possible affiliates and the ranking system for them.  Review collected by and hosted on G2.com.
Verified User in Consumer Services,Small-Business(50 or fewer emp.),,,Yes,No,,No,2019-01-11,5,"""Experienced long time user review""",I really enjoy the multifaceted dashboard. The layout is robust but not overwhelming.  It's easy to find what you are looking for.  Review collected by and hosted on G2.com.,I really enjoy the multifaceted dashboard. The layout is robust but not overwhelming.  It's easy to find what you are looking for.  Review collected by and hosted on G2.com.,I really enjoy the multifaceted dashboard. The layout is robust but not overwhelming.  It's easy to find what you are looking for.  Review collected by and hosted on G2.com.
